O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
51-9191.00	2.C.7.a	English Language	LV	3.36	23	0.2510	2.8358	3.8769	N	N	07/2015	Incumbent
51-9191.00	2.C.7.b	Foreign Language	IM	1.22	24	0.1697	1.0000	1.5723	N	n/a	07/2015	Incumbent
51-9191.00	2.C.7.b	Foreign Language	LV	0.21	24	0.1680	0.0000	0.5589	Y	Y	07/2015	Incumbent
51-9191.00	2.C.7.c	Fine Arts	IM	1.09	24	0.0730	1.0000	1.2414	N	n/a	07/2015	Incumbent
51-9191.00	2.C.7.c	Fine Arts	LV	0.38	24	0.3309	0.0000	1.0626	Y	Y	07/2015	Incumbent
51-9191.00	2.C.7.d	History and Archeology	IM	1.03	24	0.0317	1.0000	1.0952	N	n/a	07/2015	Incumbent
51-9191.00	2.C.7.d	History and Archeology	LV	0.04	24	0.0476	0.0000	0.1428	Y	Y	07/2015	Incumbent
51-9191.00	2.C.7.e	Philosophy and Theology	IM	1.30	24	0.1896	1.0000	1.6915	N	n/a	07/2015	Incumbent
51-9191.00	2.C.7.e	Philosophy and Theology	LV	0.75	24	0.4884	0.0000	1.7569	Y	Y	07/2015	Incumbent
51-9191.00	2.C.8.a	Public Safety and Security	IM	2.86	24	0.3447	2.1484	3.5744	N	n/a	07/2015	Incumbent
51-9191.00	2.C.8.a	Public Safety and Security	LV	2.50	24	0.5470	1.3700	3.6332	N	N	07/2015	Incumbent
51-9191.00	2.C.8.b	Law and Government	IM	1.65	24	0.4324	1.0000	2.5455	N	n/a	07/2015	Incumbent
51-9191.00	2.C.8.b	Law and Government	LV	0.65	24	0.4324	0.0000	1.5455	Y	N	07/2015	Incumbent
51-9191.00	2.C.9.a	Telecommunications	IM	1.78	24	0.1757	1.4124	2.1393	N	n/a	07/2015	Incumbent
51-9191.00	2.C.9.a	Telecommunications	LV	0.99	24	0.3054	0.3591	1.6227	N	N	07/2015	Incumbent
51-9191.00	2.C.9.b	Communications and Media	IM	1.47	24	0.2055	1.0420	1.8921	N	n/a	07/2015	Incumbent
51-9191.00	2.C.9.b	Communications and Media	LV	0.72	24	0.2677	0.1707	1.2784	N	Y	07/2015	Incumbent
51-9191.00	2.C.10	Transportation	IM	1.80	24	0.2424	1.2969	2.2999	N	n/a	07/2015	Incumbent
51-9191.00	2.C.10	Transportation	LV	1.55	24	0.4486	0.6263	2.4823	N	N	07/2015	Incumbent
51-9192.00	2.C.1.a	Administration and Management	IM	2.20	18	0.4617	1.2305	3.1789	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.a	Administration and Management	LV	2.34	18	0.9067	0.4280	4.2538	N	N	07/2017	Incumbent
51-9192.00	2.C.1.b	Administrative	IM	1.39	18	0.2287	1.0000	1.8774	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.b	Administrative	LV	0.66	18	0.4261	0.0000	1.5622	Y	Y	07/2017	Incumbent
51-9192.00	2.C.1.c	Economics and Accounting	IM	1.33	18	0.1723	1.0000	1.6952	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.c	Economics and Accounting	LV	0.35	18	0.1765	0.0000	0.7200	Y	Y	07/2017	Incumbent
51-9192.00	2.C.1.d	Sales and Marketing	IM	1.27	18	0.1470	1.0000	1.5831	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.d	Sales and Marketing	LV	0.46	18	0.2630	0.0000	1.0190	Y	Y	07/2017	Incumbent
51-9192.00	2.C.1.e	Customer and Personal Service	IM	2.09	18	0.4106	1.2279	2.9604	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.e	Customer and Personal Service	LV	1.73	18	0.7783	0.0863	3.3705	N	N	07/2017	Incumbent
51-9192.00	2.C.1.f	Personnel and Human Resources	IM	1.67	18	0.3164	1.0000	2.3347	N	n/a	07/2017	Incumbent
51-9192.00	2.C.1.f	Personnel and Human Resources	LV	1.13	18	0.5251	0.0201	2.2360	N	N	07/2017	Incumbent
51-9192.00	2.C.2.a	Production and Processing	IM	3.93	18	0.4675	2.9440	4.9168	N	n/a	07/2017	Incumbent
51-9192.00	2.C.2.a	Production and Processing	LV	3.45	18	0.7010	1.9748	4.9327	N	N	07/2017	Incumbent
51-9192.00	2.C.2.b	Food Production	IM	1.92	18	0.4587	1.0000	2.8906	N	n/a	07/2017	Incumbent
51-9192.00	2.C.2.b	Food Production	LV	1.31	18	0.6412	0.0000	2.6634	N	N	07/2017	Incumbent
51-9192.00	2.C.3.a	Computers and Electronics	IM	1.55	18	0.2533	1.0199	2.0888	N	n/a	07/2017	Incumbent
51-9192.00	2.C.3.a	Computers and Electronics	LV	0.82	18	0.3968	0.0000	1.6622	N	N	07/2017	Incumbent
51-9192.00	2.C.3.b	Engineering and Technology	IM	1.97	18	0.4657	1.0000	2.9522	N	n/a	07/2017	Incumbent
51-9192.00	2.C.3.b	Engineering and Technology	LV	2.05	18	1.0564	0.0000	4.2739	Y	N	07/2017	Incumbent
51-9192.00	2.C.3.c	Design	IM	1.31	18	0.1730	1.0000	1.6732	N	n/a	07/2017	Incumbent
51-9192.00	2.C.3.c	Design	LV	0.52	18	0.3231	0.0000	1.1982	Y	Y	07/2017	Incumbent
51-9192.00	2.C.3.d	Building and Construction	IM	1.41	18	0.2630	1.0000	1.9661	N	n/a	07/2017	Incumbent
51-9192.00	2.C.3.d	Building and Construction	LV	0.50	17	0.3758	0.0000	1.2946	Y	Y	07/2017	Incumbent
51-9192.00	2.C.3.e	Mechanical	IM	2.36	18	0.4396	1.4289	3.2839	N	n/a	07/2017	Incumbent
51-9192.00	2.C.3.e	Mechanical	LV	2.80	18	0.8959	0.9086	4.6889	N	N	07/2017	Incumbent
51-9192.00	2.C.4.a	Mathematics	IM	2.00	17	0.4137	1.1267	2.8808	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.a	Mathematics	LV	2.05	18	0.7731	0.4224	3.6848	N	N	07/2017	Incumbent
51-9192.00	2.C.4.b	Physics	IM	1.65	18	0.2806	1.0538	2.2379	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.b	Physics	LV	1.31	17	0.6135	0.0127	2.6138	N	N	07/2017	Incumbent
51-9192.00	2.C.4.c	Chemistry	IM	2.40	18	0.3819	1.5946	3.2059	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.c	Chemistry	LV	2.28	17	0.5871	1.0392	3.5284	N	N	07/2017	Incumbent
51-9192.00	2.C.4.d	Biology	IM	1.56	18	0.2524	1.0228	2.0881	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.d	Biology	LV	1.05	18	0.4999	0.0000	2.1027	N	N	07/2017	Incumbent
